timestamp,edits_count,unique_editors,new_editors,mean_edit_size,revert_rate,bot_edit_share,hidden_user_share,editor_churn,z_edits_count,z_unique_editors,z_new_editors,z_mean_edit_size,z_revert_rate,z_editor_churn,is_baseline,anomaly_score,pct_edits_count,pct_revert_rate,pct_editor_churn,anomaly_score_v2
2022-04-15 00:00:00+00:00,33.0,6.0,6.0,1128.969696969697,0.0,0.0,0.0,1.0,5.174707198652927,2.757793000771386,5.290015816203908,2.7240057080684448,-0.2356014825503297,3.1622239704244723,True,2.7004432288423565,0.9919003115264797,0.9171339563862928,1.0,0.9696780893042575
2022-04-16 00:00:00+00:00,5.0,3.0,2.0,114.25,0.0,0.2,0.0,0.6666666666666666,0.5584866712800676,1.2081637209587797,1.5771152433353073,0.0794616838953306,-0.2356014825503297,1.980269668929864,True,0.7677182858865338,0.9302180685358256,0.9171339563862928,0.9202492211838006,0.922533748701973
2022-04-17 00:00:00+00:00,13.0,3.0,2.0,182.30769230769232,0.0,0.0,0.0,0.6666666666666666,1.877406821958027,1.2081637209587797,1.5771152433353073,0.2568324041334489,-0.2356014825503297,1.980269668929864,True,1.2073583361125204,0.9669781931464174,0.9171339563862928,0.9202492211838006,0.9347871235721703
2022-04-18 00:00:00+00:00,6.0,3.0,1.0,183.8333333333333,0.0,0.0,0.0,0.3333333333333333,0.7233516901148125,1.2081637209587797,0.6488901001181572,0.2608085020346141,-0.2356014825503297,0.798315367435254,True,0.4286885249999122,0.9383177570093458,0.9171339563862928,0.8728971962616823,0.9094496365524402
2022-04-19 00:00:00+00:00,6.0,3.0,2.0,648.0,0.0,0.0,0.0,0.6666666666666666,0.7233516901148125,1.2081637209587797,1.5771152433353073,1.470511229023607,-0.2356014825503297,1.980269668929864,True,0.8226732921647821,0.9383177570093458,0.9171339563862928,0.9202492211838006,0.9252336448598131
2022-04-20 00:00:00+00:00,10.0,5.0,4.0,438.9,0.0,0.0,0.0,0.8,1.3828117654537924,2.241249907500517,3.4335655297696075,0.9255586109696068,-0.2356014825503297,2.453051389527707,True,1.2000872241437233,0.9582554517133957,0.9171339563862928,0.9264797507788162,0.9339563862928348
2022-04-21 00:00:00+00:00,36.0,7.0,5.0,226.3333333333333,0.0,0.0,0.0,0.7142857142857143,5.669302255157161,3.274336094042255,4.361790672986758,0.3715712292813621,-0.2356014825503297,2.149120283429093,True,2.527607018678642,0.9931464174454828,0.9171339563862928,0.9214953271028037,0.9439252336448597
2022-04-22 00:00:00+00:00,33.0,21.0,17.0,488.1212121212121,0.1515151515151515,0.0,0.0,0.8095238095238095,5.174707198652927,10.505939399834418,15.500492391592555,1.0538380390386928,0.9057021319035984,2.486821512427553,True,2.8557436143280257,0.9919003115264797,0.9414330218068536,0.9271028037383178,0.9534787123572169
2022-04-23 00:00:00+00:00,7.0,6.0,5.0,10.142857142857142,0.0,0.0,0.0,0.8333333333333334,0.8882167089495575,2.757793000771386,4.361790672986758,-0.1918604588981739,-0.2356014825503297,2.5712468196771683,True,1.0746206820254651,0.9451713395638629,0.9171339563862928,0.9277258566978193,0.9300103842159917
2022-04-24 00:00:00+00:00,5.0,4.0,1.0,198.0,0.0,0.0,0.0,0.25,0.5584866712800676,1.7247068142296484,0.6488901001181572,0.2977294111168635,-0.2356014825503297,0.5028267920616017,True,0.2752373269304465,0.9302180685358256,0.9171339563862928,0.8635514018691589,0.9036344755970925
