timestamp,edits_count,unique_editors,new_editors,mean_edit_size,revert_rate,bot_edit_share,hidden_user_share,editor_churn,z_edits_count,z_unique_editors,z_new_editors,z_mean_edit_size,z_revert_rate,z_editor_churn,is_baseline
2020-08-26 00:00:00+00:00,1.0,1.0,1.0,26.0,0.0,0.0,0.0,1.0,0.23302716704600127,0.6537725428661474,1.3434351273058398,-0.03822612836126627,-0.2494937901255431,3.8484722990293565,True
2020-08-27 00:00:00+00:00,9.0,3.0,3.0,37.6,0.3333333333333333,0.4444444444444444,0.0,1.0,3.9917598270843695,2.584873793432961,4.588915864405514,-0.018524077422830094,2.395274431374833,3.8484722990293565,True
2020-08-28 00:00:00+00:00,6.0,4.0,4.0,3.0,0.5,0.0,0.0,1.0,2.5822350795699816,3.5504244187163683,6.211656232955352,-0.0772905397047173,3.7176585421250214,3.8484722990293565,True
2020-08-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-08-30 00:00:00+00:00,2.0,2.0,1.0,3.0,0.5,0.0,0.0,0.5,0.7028687495507973,1.6193231681495543,1.3434351273058398,-0.0772905397047173,3.7176585421250214,1.7634038705658954,True
2020-08-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-03 00:00:00+00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.23302716704600127,0.6537725428661474,1.3434351273058398,-0.082385897706037,-0.2494937901255431,3.8484722990293565,True
2020-09-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-05 00:00:00+00:00,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23302716704600127,0.6537725428661474,-0.27930524124399764,-0.082385897706037,7.684810874375585,-0.32166455789756604,True
2020-09-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-16 00:00:00+00:00,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.23302716704600127,0.6537725428661474,1.3434351273058398,-0.082385897706037,-0.2494937901255431,3.8484722990293565,True
2020-09-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
2020-09-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23681441545879475,-0.3117780824172594,-0.27930524124399764,-0.082385897706037,-0.2494937901255431,-0.32166455789756604,True
