timestamp,edits_count,unique_editors,new_editors,mean_edit_size,revert_rate,bot_edit_share,hidden_user_share,editor_churn,z_edits_count,z_unique_editors,z_new_editors,z_mean_edit_size,z_revert_rate,z_editor_churn,is_baseline,anomaly_score
2021-05-17 00:00:00+00:00,29.0,5.0,5.0,550.2068965517242,0.1379310344827586,0.0,0.0,1.0,4.6482669123969,2.944997921622179,7.23436143868901,0.0521766227646544,1.0228784255204748,3.4536583104494114,True,3.041601216122262
2021-05-18 00:00:00+00:00,6.0,5.0,2.0,25.5,0.0,0.0,0.0,0.4,0.8094791823702667,2.944997921622179,2.7195032829682213,-0.0278228395001716,-0.2219228064394029,1.1682161120615937,True,0.5852574959974858
2021-05-19 00:00:00+00:00,2.0,1.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.1418639249743304,0.3021562398693136,-0.2904021541789712,0.125938161592605,-0.2219228064394029,-0.3554120201969512,True,-0.14515696722067456
2021-05-20 00:00:00+00:00,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,-0.0250398893746535,0.3021562398693136,1.214550564394625,-0.031253303084294,-0.2219228064394029,3.4536583104494114,True,1.068898538211785
2021-05-21 00:00:00+00:00,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.0250398893746535,0.3021562398693136,-0.2904021541789712,-0.0314057681324773,-0.2219228064394029,-0.3554120201969512,True,-0.20079157200366918
2021-05-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
2021-05-30 00:00:00+00:00,1.0,1.0,1.0,320.0,0.0,0.0,0.0,1.0,-0.0250398893746535,0.3021562398693136,1.214550564394625,0.0170781171897864,-0.2219228064394029,3.4536583104494114,True,1.068898538211785
2021-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919437037236376,-0.3585541805689027,-0.2904021541789712,-0.0317106982288437,-0.2219228064394029,-0.3554120201969512,True,-0.25642617678666385
